"title","avg_rating","rating_count","phone","website","address","images","category"
"Gloria Molina Grand Park Playground","4.6","85","+1 213-972-8080","grandparkla.org","227 N Spring St, Los Angeles, CA 90012, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_blZreZQTvfEpOVvL8USvqRp-U9c3Xw15HoCVMmQJFEUoafwk0CdwtDnbjP3d7vnD3rF_8dGgliQWYsSLUNaLXHX751OkYz1mIefe7ZeNkqfLGmD889u7la39gGk18PC_9qltW=s4196-v1","Playground"
"Playground of Dreams","4.6","134","+1 707-746-4285","ci.benicia.ca.us","101-199 W K St, Benicia, CA 94510, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-UlZRVtR5gmc3GNYbRCwbqoi_f_UVaN3phJ2_VK9Q0UpxAmYH4XBaJQCgznF-I09a7Sba5JVK6Qm963-FTvcR3XaWJglQUIJYYhG_LkJB0Fil0-UgHPpVIbLGELqrpYD0b2mF7=s4196-v1","Playground"
"Children's Playground","4.8","167","+1 650-522-7434","cityofsanmateo.org","2720 Alameda de las Pulgas, San Mateo, CA 94403, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-NWusHYcEiRekn9ZGHtOaVbFUChfwUMOq2-Gkas-tVs8bomOnQGpB9Rz-E3ZX0ppeuaPKU7qVirYerEettHc8R_a34ay7HpNAhBvoHHhBDpVd7C-oRNunsKO93ovmaKyLm199c=s4196-v1","Playground"
"Magic Mountain Playground","4.7","468",,"parks.smcgov.org","12 Airport Blvd., San Mateo, CA 94401, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8esEHWhJbXezmYjghJn4065gKqIxZ64fRPU7r4tsPxYxzAJN_EuLa_ndipgO7rkMt9-3OB2HfxSEBhKwz-4bZSajpp9tAP8Hvykd2Ey1fB4Wi4CyEYyS5fxDc1A9CfUTy0K_Q=s4196-v1","Playground"
"HB All-inclusive Playground","4.7","458",,"huntingtonbeachca.gov","913 Pacific Coast Hwy, Huntington Beach, CA 92648, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9CAeAZH0ARZu2StTdS_Ka7Y7vCfDrp0E8EENcD2SW1aWl1MRGiR4R4UOW2mZqmH-ass4emMyGjchWUO9cuMW2AX8qZJbTgCTIG-sn0ihVyyGAVXj5q1Z9zivOK9iQ1uIM2vdFD=s4196-v1","Playground"
"Adventure Playground","4.7","568","+1 510-981-6720","berkeleyca.gov","160 University Ave, Berkeley, CA 94710, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_y5Sd4RzIkR3-v79kNpsR1ad697YiJhEyg6C6TubUwXh3uz7OZ4RFma3mqBP6DDrufNWgmJ7TiK1eqiUCkleapre7gQbHdVom6bmsWM4Wn_IRw-85mWXrfXbsfJB72wTcc8LuC=s4196-v1","Playground"
"Adventure Playground","4.7","790","+1 949-724-6818","cityofirvine.org","1 Beech Tree Ln, Irvine, CA 92612, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8GCoLlQJKOFlsOcasFsg82xiCFVKWWKerJgXgDAWDk5zK-ADaB-LTU4UNu32njlEs6PetmTanN3FYhJz5OMnEJ5k9UTBWixKSRH6dy2BKQ0Qg8GsynYdhvYx1mGwX8TDjAm7At=s4196-v1","Playground"
"Angels Playground","4.7","233",,,"970 Arlington Dr, Costa Mesa, CA 92626, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8QC3ok4tJDkEopxcgLtEm4Jzt_0dWGCtIWPejFzOht4ax4Y0deFm4Gcr7XE4HEN5tV_CUmvDs3KoQrJfP2E_QezDiqGj22uKD2Kxu-BXf2QlBnbEQP0pmQ0fZnMy1L4F5EMA60Pg=s4196-v1","Playground"
"El Sereno Arroyo Playground","4.5","330","+1 703-858-2158","laparks.org","5520 Concord Ave, Los Angeles, CA 90032, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9hLf3y4Q0ysbc0DkYZVwwqeDrYB0GDJsB0oWjlUzebXCH-dCSeMu63v4wuUtv1QPfv3l-JudY0-ldmSCU5vQBD0UowjUbFf-aa7YyFxWS0E6Xt3Biok_x4TfzF8u5nW9DqwgQ=s4196-v1","Park"
"Folsom Kids Play Park (Castle Park)","4.6","682","+1 916-355-7285","folsom.ca.us","201 Prewett Dr, Folsom, CA 95630, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8w50bKfsrHCUAGqKq_CWlwCZ7ikLmEybjVLlBmwZVJNs5mo8IL4U30Uy8GDgxrKEOm2yATej2wLSahwPF2Ub1etoUu9scldZHP16TTsF1Z_7PEvvd7DNaSZOhtULseMcEbsCIH6g=s4196-v1","Park"
"Playground | Redwood Place","4.8","50",,"sunnyvale.ca.gov","1090 E Duane Ave, Sunnyvale, CA 94085, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9TkDudVi5y16TOuNPV3h4K_UpWpR9m7ba1yqxkzR7VfaNRx4ibfTNIfB4nF-ct_KLq_d7SUoIVmiM96vUksPgpiuwS48-S4ddLnhTPyo-H0SW3wn2SnSJ1bx-98OXOqoXtFbUc=s4196-v1","Playground"
"Sabercat Play Area Central Park","4.7","414","+1 510-790-5541","fremont.gov","Fremont, CA 94538, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8SZKt7Dn7pDtjkA4R1UHwjc3qFThHv-dIAUGL_cZsh5p2tYu0mr8aW4hmE0jLqj56Q2C29mp5SKSQ2lN-mOivDasceehzBvscV3ZyPwniyy_Ctbr-bL21gK-FyG5Us48nNDMhGDQ=s4196-v1","Playground"
"Magical Bridge Playground","4.6","216","+1 650-538-2850","magicalbridge.org","540 N Fair Oaks Ave, Sunnyvale, CA 94085, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9gAf0tI2cz-7z2lflc5UdGMGSrPyluaNpsr-PiZGJmhhEyoQKmdvyeXFJ-sI4UshLpRkBhzw5rgOJQWc71KTA6EOAKt75mCjrHThUDh5bRSG53-SBhKHObKGyH2ZoXc61cD-j5IQ=s4196-v1","Playground"
"McKinley Park Playground","4.7","167",,,"601 Alhambra Blvd, Sacramento, CA 95816, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_9R0uTY10dkDKiAW1_l8zvSyUBpzDHoG3SMWrQ2JTaLpJ7Uqk1sQBlgkAzshDH7lFNn1SKlbomW16uj5tdbirTxeVS1tcsqKJCNC_L4mXJ2tgZQeDGhQPV-rmmdRKqLYvA3jIZ=s4196-v1","Playground"
"Rainbow City Playground","4.6","90","+1 530-757-5626","cityofdavis.org","1405 F St, Davis, CA 95616, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_ogpnIzmrmKmszAXzPamFrAKa2jD7eHTihcJycGLjuy1Rc-LbioZlWXdUqWMFOgu8CtWd__CgxIr0DRza4QDwjHLuy6WKx1BEk2N3C4TuGpcxZYnhsAooDygYiHnFgYGobmt85=s4196-v1","Playground"
"Griffith park","4.7","810",,"inclusionmatters.org","4800 Crystal Springs Dr, Los Angeles, CA 90027, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9esxks9upmTS8ysqoIyCV0JI2OdzElkbz1C0k2I9H0aF82Fo3NPrPfP0R36P3bYL6zWjlRUeYFU_Yq2k8yc0GJDqagqRSuML4BeIPX8Ajo9BcLcFY8Zy4Nx8l4eGfj3vtdBlgP4g=s4196-v1","Playground"
"Atlantis Play Center","4.3","395","+1 714-741-5200","ggcity.org","13630 Atlantis Way, Garden Grove, CA 92844, United States","https://lh3.googleusercontent.com/p/AF1QipPoOjx37emg1VSprDHmYbB3MgCn-JVeyrJVRdzA=s4196-v1","Playground"
"Discovery Well Park Playground","4.6","132",,,"2200 E Hill St, Long Beach, CA 90804, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9MTq80Y7_Guep2LFJI9GxwWPcVjSMbU__nOLKmqMEepmxvB26QavK98fOklKl2EgAca7BrEFgAf5d1OCZ87mASUW1uDdVcjzBJYeZFVcVTbeveU3rF1TZnwRpAMKX8YXVyugvy3g=s4196-v1","Playground"
"Vermont Canyon Play Area","4.9","40",,,"Vermont Ave. & Commonwealth Canyon Dr, Los Angeles, CA 90027, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB_aNdLCBb7HFqoF9_47Vqns-U2VDcNL8exW55Vv8c3bW_uOdf7tLkSC3S3Iv-k0zH1MulvGy6CmEzZFFVM3oGNvz8hTqNc2DAMM3BuJO4yNKpJgeIriM9XHbSfoG2Xq-h5q0_9K=s4196-v1","Playground"
"North Beach Playground","4.9","41","+1 310-458-8300","santamonicaparks.org","810 CA-1, Santa Monica, CA 90403, United States","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-0zsJE0KA6PdJ7tsnt3P5mimCsXKPuvjHc2pSflnFXv97sAE2huHdbsEF7-a8UNXodovobo-O_xanJAGsL9HqrETzS3hCMmxhvWVk75M-vQK2ZQ66iOI_R2oJI3jolH46G5q0e=s4196-v1","Playground"
