"title","avg-rating","rating-count","phone","website","address"
"Angels Playground",,,,,"970 Arlington Dr, Costa Mesa, CA 92626, United States"
"Magic Mountain Playground",,,,"parks.smcgov.org","12 Airport Blvd., San Mateo, CA 94401, United States"
"Adventure Playground",,,"+1 510-981-6720","berkeleyca.gov","160 University Ave, Berkeley, CA 94710, United States"
"Adventure Playground",,,"+1 949-724-6818","cityofirvine.org","1 Beech Tree Ln, Irvine, CA 92612, United States"
"Gloria Molina Grand Park Playground",,,"+1 213-972-8080","grandparkla.org","227 N Spring St, Los Angeles, CA 90012, United States"
"Sabercat Play Area Central Park",,,"+1 510-790-5541","fremont.gov","Fremont, CA 94538, United States"
"HB All-inclusive Playground",,,,"huntingtonbeachca.gov","913 Pacific Coast Hwy, Huntington Beach, CA 92648, United States"
"Playground of Dreams",,,"+1 707-746-4285","ci.benicia.ca.us","101-199 W K St, Benicia, CA 94510, United States"
"El Sereno Arroyo Playground",,,"+1 703-858-2158","laparks.org","5520 Concord Ave, Los Angeles, CA 90032, United States"
"Folsom Kids Play Park (Castle Park)",,,"+1 916-355-7285","folsom.ca.us","201 Prewett Dr, Folsom, CA 95630, United States"
"Griffith park",,,,"inclusionmatters.org","4800 Crystal Springs Dr, Los Angeles, CA 90027, United States"
"Atlantis Play Center",,,"+1 714-741-5200","ggcity.org","13630 Atlantis Way, Garden Grove, CA 92844, United States"
"North Beach Playground",,,"+1 310-458-8300","santamonicaparks.org","810 CA-1, Santa Monica, CA 90403, United States"
"Dennis The Menace Playground",,,"+1 831-646-3866","monterey.org","777 Pearl St, Monterey, CA 93940, United States"
"McKinley Park Playground",,,,,"601 Alhambra Blvd, Sacramento, CA 95816, United States"
"South Beach Park Playground",,,"+1 310-458-2231","smgov.net","3400 Barnard Way, Santa Monica, CA 90405, United States"
"Rainbow City Playground",,,"+1 530-757-5626","cityofdavis.org","1405 F St, Davis, CA 95616, United States"
"Magical Bridge Playground",,,"+1 650-538-2850","magicalbridge.org","540 N Fair Oaks Ave, Sunnyvale, CA 94085, United States"
"Rise Park Playground",,,,,"249 Sawbuck, Irvine, CA 92618, United States"
"Ocean Park Playground",,,,,"4288032916, Santa Monica, CA 90405, United States"
"Discovery Well Park Playground",,,,,"2200 E Hill St, Long Beach, CA 90804, United States"
"Playground",,,,,"808 California St, El Segundo, CA 90245, United States"
"Kids Empire Bakersfield",,,"+1 661-405-4650","kidsempire.com","4220 California Ave, Bakersfield, CA 93309, United States"
"Helen Diller Playground",,,"+1 415-831-2700","sfrecpark.org","San Francisco, CA 94114, United States"
"Aidan's Place at Westwood Recreation Center",,,"+1 310-473-3610","laparks.org","1350 S Sepulveda Blvd, Los Angeles, CA 90025, United States"
"Mountain Lake Playground",,,,"sfrecpark.org","1 12th Ave, San Francisco, CA 94118, United States"
"Pioneer Park Playground",,,,,"1308 Cedar St, Calistoga, CA 94515, United States"
"Carbon Canyon Regional Park Playground",,,"+1 714-973-3160","ocparks.com","Carbon Canyon Rd, Brea, CA 92823, United States"
"Adventure Playground",,,"+1 714-842-7442","huntingtonbeachca.gov","7111 Talbert Ave, Huntington Beach, CA 92648, United States"
"Land Park Playground",,,,,"1300 13th Ave, Sacramento, CA 95822, United States"
"Playground | Redwood Place",,,,"sunnyvale.ca.gov","1090 E Duane Ave, Sunnyvale, CA 94085, United States"
"Playground on Bluff Trail Park",,,,,"Bluff Creek Dr, Playa Vista, CA 90094, United States"
"Playground",,,,,"American Canyon, CA 94503, United States"
"Koret Children's Playground",,,"+1 415-861-0778","sfrecpark.org","Koret Children's Quarter Playground, Martin Luther King Jr Dr & Bowling Green Dr, San Francisco, CA 94117, United States"
"Huntington Beach Central Park West Playground",,,,,"Huntington Beach, CA 92647, United States"
