"title","avg_rating","rating_count","phone","website","address","area","city","category","images"
"mana","4.7","387",,"manarestaurant.co.uk","42 Blossom St, Ancoats, Manchester M4 6BF, United Kingdom","Manchester Central","Manchester","Modern British restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB8mqM5z8KSRKYVtLmAvHlRYq-dAacnZsjRegjEkgTXmo2t_tNuu9RkCar7IrsxphzMhKzXcD43bibx0IsDy6tLcJAVgrpTtW4-2A_xdP23s_BLNgv0Rn7UQd-9stxXmsHUDl7wu0A=s4196-v1"
"The Counter House","4.6","632","+44 161 414 0065","thecounterhouse.co.uk","35 Blossom St, Ancoats, Manchester M4 6AJ, United Kingdom","Manchester Central","Manchester","Restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9QqfR3nFHJgoJW7MmKmf9r8fA9agN0ZMWTw4Wj_brWGFOE2MrjT8R-UogoGRYGH8rFoN-QF1dChcQ7znEEKYZd1AMucVSFgWwsurgVBpSRMuUF5HnAJFpdl9g-sN8bW9tvR79R8A=s4196-v1"
"Viet Shack Restaurant","4.5","1131",,"vietshackrestaurant.co.uk","63-65 Great Ancoats St, Ancoats, Manchester M4 5AB, United Kingdom","Manchester Central","Manchester","Vietnamese restaurant","https://lh3.googleusercontent.com/p/AF1QipOH-PNeY6-X5mzWVLFmLG2tf3BPQD9YKgyPPaQ=s4196-v1"
"Ca Phe Viet","4.7","405","+44 161 228 2387","instagram.com","80-86 Oldham Rd, Ancoats, Greater, Manchester M4 5EB, United Kingdom","Manchester Central","Manchester","Vietnamese restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB-vk8lBsKCjhBZ-PCksqQNu7zvky2DoFtBRWVkdPtDasF8SysEoiRR5v2ghjBrVCGdIZ68fc28_D8O63MiHJMllMjulIzRpTpqZOBSRG4gEucEdUaNoNW6F2hMUKGNZ4sffoqVx=s4196-v1"
"Elnecot","4.5","1142","+44 7412 574324","elnecot.com","Cutting Room Square, 41 Blossom St, Ancoats, Manchester M4 6AJ, United Kingdom","Manchester Central","Manchester","Modern British restaurant","https://lh3.googleusercontent.com/p/AF1QipMAqxxNhhWEu6hWNVKFgs28UFU1HpjeXt_uAUD-=s4196-v1"
"Erst","4.8","629","+44 161 547 3683","erst-mcr.co.uk","9 Murray St, Ancoats, Manchester M4 6HS, United Kingdom","Manchester Central","Manchester","Restaurant","https://lh3.googleusercontent.com/p/AF1QipOm-7qgVzYTSNUrO6fjmdswxMViulDRBKe5h5P_=s4196-v1"
"Canto","4.5","846","+44 161 870 5904","cantorestaurant.com","Cutting Room Square, Blossom St, Ancoats, Manchester M4 5DH, United Kingdom","Manchester Central","Manchester","Tapas restaurant","https://lh3.googleusercontent.com/p/AF1QipM-K79iMojERHNBt0cRJFrD3cVHo_c8mBbYxsRB=s4196-v1"
"Rudy's Pizza Napoletana - Ancoats","4.7","4332","+44 161 820 8292","rudyspizza.co.uk","9 Cotton St, Ancoats, Manchester M4 5BF, United Kingdom","Manchester Central","Manchester","Neapolitan restaurant","https://lh3.googleusercontent.com/gps-cs-s/AB5caB9tWeE2uuZ495uc2WmDjXuW-VhhdWALCjycQPlqv74QkEzUUBIj-9Dqpr3ZYrATRLQm7uJCyM-lMK1NF69GD1XjrI7D6r9BZLf0bd3zWHGNdwMm0JGy2RJgVsurpEE-bTxYRpOqQBSr8ZvZ=s4196-v1"
"Que Huong Viet :Vietnamese fine food","4.6","117","+44 7568 788686",,"76-78 Oldham Rd, Ancoats, Manchester M4 5EB, United Kingdom","Manchester Central","Manchester","Vietnamese restaurant","https://lh3.googleusercontent.com/p/AF1QipPdo7AiKJR2gjtudpNy9_CXa9WUPe38HdnUnX8_=s4196-v1"
"Maricarmen","4.8","394","+44 161 383 1968","maricarmen.co.uk","67 Great Ancoats St, Ancoats, Manchester M4 5AB, United Kingdom","Manchester Central","Manchester","Tapas bar","https://lh3.googleusercontent.com/p/AF1QipO8yYqXYHEVKZJ1TgBG0FRbyPued9_0wbTnpax8=s4196-v1"
